;link
0;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/carnusapass-3213/mountain-hiking/1-etappe-via-capricorns-von-wergenstein-zum-glaspass-41507/
1;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/camaner-huetta-8362/mountain-hiking/2-etappe-via-capricorns-vom-glaspass-zum-turrahus-41508/
2;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/farcletta-digl-lai-grand-3321/mountain-hiking/3-etappe-via-capricorns-vom-turrahus-nach-wergenstein-41509/
3;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/palisnideri-paliis-nideri-2577/mountain-hiking/zuesler-highway-von-walenstadtberg-ins-toggenburg-7152/
4;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/cabane-rochefort-2140496852/mountain-hiking/de-la-givrine-les-pralies-ou-st-cergue-41547/
5;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/parkhuette-varusch-2147303917/mountain-hiking/von-s-charl-oder-prasueras-41468/
6;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/from-urbachtal-487/
7;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/von-der-dossenhuette-zur-gaulihuette-41452/
8;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/mountain-hiking/abstieg-von-der-gaulihuette-via-wasserfallrundtour-nach-innertkirchen-41453/
9;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/ski-touring/from-the-baechlitalhuette-3149/
10;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/gaulihuette-sac-2147000111/ski-touring/von-muervorsess-im-urbachtal-3150/
11;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rifugio-alpe-san-romerio-2140494601/mountain-hiking/von-viano-piaz-oder-miralago-41373/
12;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/rochers-de-naye-1283/mountain-hiking/rundtour-rochers-de-naye-von-les-cases-41400/
13;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bivacco-cesare-fiorio-caai-2147436061/mountain-hiking/von-arp-nouva-desot-4106/
14;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/bivacco-cesare-fiorio-caai-2147436061/mountain-hiking/von-la-fouly-ferret-41443/
15;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/chamanna-georgy-2147436654/mountain-hiking/von-der-alp-languard-41372/
16;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/capanna-gesero-2147000114/mountain-hiking/von-carena-40846/
17;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/from-the-arnisee-via-nidersee-358/
18;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/vom-arnisee-ueber-die-sunniggrathuette-1241/
19;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/mountain-hiking/vom-arnisee-durch-das-schindlachtal-40834/
20;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/leutschachhuette-sac-2147000153/ski-touring/von-intschi-mit-der-seilbahn-3251/
21;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/tour-de-mayen-1143/mountain-hiking/par-le-versant-s-et-les-lapies-des-truex-40836/
22;https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/dent-blanche-gstellihore-862/mountain-hiking/par-les-lapies-di-bou-verlornenberg-40833/
