;id;distance;up;down;min;max
104;1448;10.76 km;955 m;65 m;1'171 m;2'061 m
105;1449;9.06 km;989 m;305 m;1'376 m;2'320 m
106;1452;6.70 km;989 m;611 m;1'946 m;2'833 m
107;1467;7.19 km;580 m;200 m;1'910 m;2'340 m
108;1468;4.32 km;880 m;1 m;901 m;1'780 m
109;1469;8.13 km;577 m;388 m;2'160 m;2'610 m
110;147;2.70 km;301 m;3 m;1'809 m;2'108 m
111;148;7.11 km;619 m;25 m;1'655 m;2'249 m
112;1482;4.74 km;551 m;360 m;1'513 m;1'828 m
113;1489;6 km;803 m;62 m;1'765 m;2'506 m
114;1490;7.08 km;1'025 m;299 m;1'778 m;2'647 m
115;1491;5.09 km;845 m;102 m;1'171 m;1'914 m
116;1493;1.53 km;358 m;3 m;1'325 m;1'682 m
117;1506;4.70 km;960 m;15 m;1'105 m;2'052 m
118;1511;2.86 km;753 m;5 m;1'360 m;2'108 m
119;1521;6.12 km;191 m;704 m;1'786 m;2'382 m
120;1523;8.47 km;1'396 m;281 m;957 m;2'314 m
121;1524;6.37 km;1'177 m;52 m;923 m;2'070 m
122;1539;0.91 km;205 m;0 m;1'635 m;1'840 m
123;1548;6.45 km;841 m;14 m;976 m;1'804 m
124;155;5.79 km;351 m;273 m;1'791 m;2'111 m
125;1573;5.37 km;1'196 m;51 m;1'537 m;2'688 m
126;1574;6.23 km;1'323 m;6 m;1'373 m;2'690 m
127;1588;2.78 km;443 m;3 m;1'262 m;1'702 m
128;16;2.72 km;40 m;394 m;2'220 m;2'574 m
129;1615;2.93 km;445 m;6 m;1'103 m;1'543 m
130;1617;4.95 km;832 m;29 m;1'106 m;1'908 m
131;1618;5.02 km;650 m;0 m;863 m;1'513 m
132;1628;3.58 km;773 m;15 m;1'113 m;1'870 m
133;1629;4.90 km;1'047 m;27 m;718 m;1'739 m
134;1630;8.59 km;1'279 m;24 m;721 m;1'994 m
135;1631;8.69 km;1'278 m;24 m;721 m;1'994 m
136;1643;2.53 km;566 m;1 m;1'366 m;1'930 m
137;1645;4.29 km;828 m;42 m;923 m;1'742 m
138;1646;7.11 km;945 m;99 m;993 m;1'839 m
139;1647;5.23 km;1'108 m;22 m;1'016 m;2'102 m
140;1648;4.91 km;652 m;40 m;1'059 m;1'671 m
141;1649;4.32 km;780 m;8 m;1'047 m;1'820 m
142;1656;3.95 km;695 m;13 m;1'016 m;1'699 m
143;1657;4.41 km;518 m;14 m;1'505 m;2'008 m
144;1658;10.90 km;890 m;114 m;814 m;1'632 m
