tour_id;start;end
40604;"46.30108666779264;8.980741763574809";"46.29987949008984;8.952708798001765"
6830;"46.571592596000514;8.695459399280983";"46.560890186709955;8.694390438089343"
6761;"47.07118961899588;9.091654759298844";"47.04433685112372;9.112271097210073"
6258;"46.6600883868864;8.054019790670223";"46.67404477558813;8.065724737638561"
7209;na;na
6753;"47.06945143577339;9.252934642189954";"47.04614013944052;9.21435364213316"
6752;"47.03342099870618;9.250108851380709";"47.03839436565;9.227524376586818"
6823;"46.560219557452974;8.88836933682516";"46.56700606232675;8.850101551056493"
5607;"47.055600821441494;9.418049485518445";"47.06865085908328;9.411753368220513"
6256;"46.55955085441243;7.738664269641037";"46.56757025518536;7.7521194924671"
6259;"46.36947997473824;7.339280151883058";"46.335294410054026;7.311709382519549"
5606;"47.071113344633595;9.39383055983881";"47.08315422065666;9.387469074556595"
6265;"46.10094541293744;7.679243129812293";"46.11124891940284;7.672072623122078"
32575;"46.04990666873208;7.264811012488948";"46.00687885116812;7.27994109122868"
6711;"46.24912197747444;10.117697566921294";"46.23602685937359;10.08528277544297"
5547;"46.29683991741054;9.139430203192306";"46.26301958456482;9.145135643621133"
5548;"46.35091186764012;9.1483895044372";"46.296724127565376;9.139230282855504"
5372;"46.72067658445477;9.922855484382348";"46.692937338593325;9.92011713865554"
6267;"46.18063298734216;7.557750838471101";"46.195214473041226;7.537918226629508"
32590;"46.09350170352012;7.233129924174144";"46.08365382433407;7.281237882527144"
32677;"46.06798977203383;6.935499614970373";"46.04161856571829;6.8922676536155425"
32689;"45.91568013153409;7.105000365885144";"45.87161076035793;7.088786651064623"
40136;"46.05773779350317;7.001126116171051";"46.039055889641226;7.023767370343575"
40135;"46.0689198030198;6.937889723893523";"46.10393896836197;6.908914669252374"
31316;"46.00246052902309;7.342949535465062";"45.999676712786126;7.3109082546339605"
4317;"45.99872937953239;7.299805314157658";"45.99871980520759;7.310449754526145"
40592;"46.59338353025102;7.436402540363998";"46.586212431511534;7.432247541485987"
7174;"46.16431371387271;7.244099202908033";"46.15614536006506;7.291404591229852"
40498;"46.201012388921775;7.071245794365146";"46.198289913177206;7.07584496822943"
5602;"46.910540076633595;8.56153070179558";"46.903255933341256;8.558682369315486"
6257;"46.50803491989395;7.358174195106293";"46.47797117198368;7.371822610039582"
5614;"46.97442817157827;8.757377417751613";"46.98450033507956;8.748527678645125"
7176;"46.13201345902544;7.246820771058939";"46.1236549901682;7.27259467094648"
6924;"46.33785036827004;6.851800625286669";"46.33950565179369;6.821905131731388"
6860;"47.007202112801785;9.825797776180522";"47.01876186510796;9.825363825312666"
216;"46.91108073803183;9.392448576748427";"46.92033576811518;9.355197253958384"
6475;"46.97732500550035;9.30270019237986";"46.96437436854638;9.297707676430386"
3079;"46.86756336365292;9.239810778803948";"46.91357913392436;9.253931697379116"
2372;"46.96292452236832;9.179741534476761";"46.982827024069;9.19789542149105"
6751;"47.034221658450996;9.250343825327379";"47.02566964794358;9.229806902925873"
6754;"47.08813238861656;9.020071928542533";"47.09452231245072;8.971054718643423"
40583;"47.15329566744514;7.178234337056754";"47.1607003844527;7.15785142603305"
6758;"47.125541202870764;9.019755044096232";"47.13399793543433;9.007514404308992"
6802;"46.92943466739625;8.299504418868352";"46.91958134546272;8.322591323815033"
40573;"46.3828952000371;7.1524259408897395";"46.3514514011845;7.154583578579715"
40514;"46.398979779850315;7.102630124213548";"46.37709032170437;7.112757089647339"
6938;"46.50406565034027;9.342613518456076";"46.5056549844579;9.330355185238416"
6937;"46.48944505124475;9.336833564836487";"46.50207301629108;9.361428981771033"
40130;"46.27840102262383;6.929432754936645";"46.257682304764984;6.887563236869297"
40436;"47.05984296359557;9.19798153759151";"47.03902974904203;9.157127629207789"
32686;"46.370260093490565;8.918280079041336";"46.3595100772295;8.886250221294981"
32687;"46.370323917267406;8.918284417809291";"46.35683608600462;8.882515788864243"
32688;"46.370260093490565;8.918280079041336";"46.35213047082747;8.876439725321749"
6755;"46.96292713283944;9.179733389275988";"46.94913061621454;9.189438790153993"
7156;"45.9492126441185;7.208351695394629";"45.930477164804174;7.2717519656206075"
7307;"45.951240222715306;7.207920132674773";"45.98519923051242;7.232219853821098"
6900;"46.02575010791333;7.481090086119344";"46.03326785113503;7.446756533390586"
7302;"45.95224587823432;7.207904265611306";"45.929880265125476;7.187289629756198"
5148;"46.03037070447248;7.274158404913212";"46.01616001982906;7.262390014804266"
7224;"46.06071403960879;7.194757741527656";"46.014060140768194;7.2084300966162225"
7753;"46.00239552902619;7.342432535455995";"45.9393199627986;7.381039447459726"
8888;"46.00239552902619;7.342432535455995";"45.91060035662928;7.356549963734643"
6901;"47.09443004233745;8.971339706522285";"47.08860399837664;9.020298364714993"
7153;"46.184942798188445;7.000453573470016";"46.19906001501109;6.943149677814471"
6266;"46.28285098384668;7.695373552192379";"46.26453978316534;7.67274497879275"
6846;"46.51610324642861;7.485325894524096";"46.51348546838089;7.4978723447045414"
7048;"46.71568928162471;7.416686094539618";"46.697946484103355;7.418782399511931"
7154;"47.0184084970023;8.55119593629554";"47.01035827965855;8.559707571146424"
902;"47.01220652551753;8.589971538183786";"47.012400525595126;8.574931538267409"
7155;"47.042624470200586;8.550917445147235";"47.03280982876904;8.549466394115198"
7129;"47.14134320034386;9.265165346698158";"47.148256685701085;9.294436401397821"
7112;"46.59333032507057;9.35913038526776";"46.596629603621885;9.358406913351372"
7122;"46.50200952866636;7.697397538212583";"46.510758246771374;7.709305255088043"
8;"46.879008520366014;9.52793153175134";"46.882983520611006;9.482043532048595"
7;"46.980105520718475;9.510062532753654";"46.904259999723564;9.504172240481441"
6;"46.92800352045611;9.535059532146102";"46.90450599030961;9.504058914419037"
5381;"46.86575418163041;9.380625017233047";"46.88297132230139;9.482020680724705"
9;"46.84300822823264;9.481319096951593";"46.8655037582093;9.461544710347015"
11;"46.9090995208911;9.440536532517532";"46.886398633581656;9.4697266317128"
3298;"46.878748800621274;9.52711379911796";"46.88300693534314;9.482201871148492"
7087;"46.13473431442609;7.31607574752229";"46.073647161591936;7.34749096732756"
7130;"46.13626208850776;7.316052248823233";"46.139000150367096;7.333640432567853"
6814;"46.18908570522232;7.100460356425474";"46.199137537758645;7.0758962263672105"
6964;"46.084615350578;8.971969304859416";"46.08673178923232;8.981828951327008"
7113;"46.140439856560896;6.993009447558255";"46.14914990280866;6.920789658077584"
6923;"46.230237849249285;7.134400719688172";"46.23720667756856;7.126143843401196"
7014;"47.026420267418764;8.632111893495292";"47.020978172041644;8.612263369749494"
6834;"46.58992029693373;7.539719095914765";"46.59981470936767;7.535311327720376"
130;"46.55976451792182;9.845070527129293";"46.52934491914061;9.7244060255532"
132;"46.470260518333205;9.718117527078402";"46.51033527615508;9.714832098603035"
131;"46.5056945180732;9.787587526989569";"46.50910983574265;9.769609205177748"
140;"46.51313454484818;9.687094680859428";"46.521556518784784;9.655604527879825"
5863;"46.472540726750836;9.74366384581459";"46.529337327387715;9.724418679054144"
3243;"46.471583984521686;9.716074965653267";"46.529337327387715;9.724418679054144"
4971;"46.50564367480775;9.787035806233062";"46.529337327387715;9.724418679054144"
6731;"46.19552180692239;7.800537686101149";"46.20494860752773;7.796594083251991"
6813;"46.25695392788706;7.09315081506201";"46.235211118428396;7.087261289240696"
124;"46.76958751710543;10.11112952740657";"46.77935073817538;10.082921487715515"
125;"46.81387251787528;9.982447528548489";"46.779342517274216;10.082922527657505"
6831;"46.59981470936767;7.535311327720376";"46.57534799259262;7.525530215962709"
6962;"46.86062786144888;9.923315003343822";"46.81403978719496;9.982290130938903"
128;"46.58871251785709;9.872541527222644";"46.61138451776178;9.902801527245028"
127;"46.58723751751691;9.938692526827671";"46.611384517761394;9.902883527244555"
3242;"46.586913655794845;9.938378241518745";"46.6115063954123;9.902887886365729"
40685;na;na
6815;"46.21446620864763;7.061945150239441";"46.21691272002291;7.077360217417498"
6935;"46.05671858386443;7.15400051606115";"46.03740938988715;7.185357988486382"
6947;"46.35072002577494;7.155961329780442";"46.321251780717404;7.194851186374746"
6812;"46.35144079287166;7.154754830517829";"46.33859096522592;7.174299844011426"
5461;"46.201150019295255;8.683567017721545";"46.209494311773064;8.706965521643989"
5617;"46.20950802017689;8.706838069883283";"46.194119985148234;8.73645958643793"
5460;"46.24939758217549;8.635472036686048";"46.232530296816186;8.656480489432195"
6927;"46.00718020777137;7.3418597157314665";"46.02936806212639;7.366012881171512"
6934;"45.93451832339007;7.098476235697927";"45.9255097097099;7.124110465269019"
6773;"46.22956303028501;7.6097661622384445";"46.20822029641108;7.617729219467356"
5745;"46.22858044977089;7.610824830758801";"46.20823147536301;7.617731569747334"
6757;"46.86806213679186;8.855897206969866";"46.85859198934945;8.870905388480006"
114;"46.720674517946605;9.921754528087465";"46.710029517721445;9.960572527768793"
115;"46.75475251750963;10.024532527785498";"46.71002951772116;9.960634527768436"
5377;"46.6450392918911;9.875590562031611";"46.71001691910075;9.960508881705724"
4535;"46.7503986646069;9.947280974247503";"46.72691851391675;9.968438756275997"
3240;"46.77195664502494;9.881792181383389";"46.72106178840443;9.922435227878307"
5950;"46.754742805003936;10.024304197092938";"46.710158025164546;9.96065509634249"
5949;"46.74284361594481;9.96542718023838";"46.710158025164546;9.96065509634249"
6928;"46.21496961258708;7.0512300750912065";"46.214501930588725;7.061867151439662"
40806;"46.209356983270105;7.036643923387773";"46.21445454929793;7.061739978506416"
5483;"46.2247050193608;8.615946017575261";"46.24937101937033;8.635503017601392"
5484;"46.26079201934705;8.690616017713271";"46.24942801936681;8.635441017606139"
5616;"46.271192849657474;8.589168401425075";"46.261500464097765;8.596170144682898"
1353;"46.426921529572866;7.476468538642338";"46.42604352937689;7.5147325384433135"
1354;"46.44924452918779;7.565121538402504";"46.425822529376156;7.51474653844122"
6922;"46.07873967458308;7.082059387367102";"46.06173982035668;7.117860542526847"
6748;"47.0713400259688;9.091081300021319";"47.080986538955266;9.113613896652287"
5062;"46.31670150878636;8.471167023294676";"46.299869653779766;8.464489946489419"
245;"46.52517764899031;9.186668339078615";"46.508054772238964;9.135555290258836"
6847;"46.57758068870903;9.122841242898708";"46.53883037715217;9.100839573179417"
3256;"46.525262453061266;9.18691621760121";"46.50001932643972;9.093851520661728"
5373;"46.74670964581113;9.338746065886417";"46.7278926017214;9.28967464938837"
4612;"46.5555570194346;9.006009018167834";"46.52878660589292;9.018498294240837"
4607;"46.49933601939214;8.995430018183663";"46.522293019419436;8.990594018164323"
4583;"46.408489019578866;8.526330017305689";"46.39104101958434;8.487230017235657"
6446;"46.43450470807927;8.428180580035031";"46.40484294600094;8.438634194980596"
6833;"46.40783098526864;8.525179124314922";"46.39111997921873;8.486967885534147"
6902;"46.439573935322244;8.513955134981973";"46.43777978558451;8.4948204914957"
6903;"46.47185687068858;8.526142628955979";"46.455189663288984;8.508659604308132"
6811;"46.576929087112624;8.38815786342481";"46.58508648813188;8.376344285292014"
6841;"46.60787575440673;8.94046256306126";"46.615230095503534;8.97258060905059"
2123;"46.44312163194312;8.512436954813856";"46.43949852435609;8.513991533421487"
2124;"46.40848852420939;8.526149533080783";"46.43948352435592;8.514028533421158"
4822;"46.42871276579406;8.572161166030874";"46.43992984151181;8.569440185824874"
3198;"46.48674178118596;8.47507298617726";"46.43955507336045;8.514070783834303"
3191;"46.471854981898666;8.52622731786896";"46.46173390638176;8.524390118404366"
