link,title,difficulty,distance,elevation_up,elevation_down,duration,speed,gpx_file,distance_gpx
https://www.komoot.com/smarttour/637473,Wuderschöner Ausblick – Mutschensattel 2070 m loop from Wildhaus,Expert,16.01,1059.18,1059.18,432,2.25,2023-05-07_1109930001_GPX Download_ Wuderschöner Ausblick – Mutschensattel 2070 m Runde von Wildhaus.gpx,15.83
https://www.komoot.com/smarttour/5500645,Zwinglipass – Zwinglipasshütte loop from Wildhaus,Expert,14.74,982.98,982.98,401,2.25,2023-05-07_1109930328_GPX Download_ Zwinglipass – Zwinglipasshütte Runde von Wildhaus.gpx,14.57
https://www.komoot.com/smarttour/12265180,Laui-Alpli Rastplatz – Gräppelensee loop from Talstation Unterwasser (Iltiosbahn),Intermediate,14.84,647.7,647.7,295,3.06,2023-05-07_1109930367_GPX Download_ Laui-Alpli Rastplatz – Gräppelensee Runde von Talstation Unterwasser (Iltiosbahn).gpx,14.76
https://www.komoot.com/smarttour/8055864,Laubberg - schöner Gratweg – Libinger Tobel loop from Libingen,Intermediate,11.7,579.12,579.12,248,2.9,2023-05-07_1109930558_GPX Download_ Laubberg - schöner Gratweg – Libinger Tobel Runde von Libingen.gpx,11.63
https://www.komoot.com/smarttour/8063536,Wildmannlisloch – Selun Gipfel loop from Alt Sankt Johann,Expert,15.71,830.58,830.58,370,2.57,2023-05-07_1109930800_GPX Download_ Wildmannlisloch – Selun Gipfel Runde von Alt Sankt Johann.gpx,15.55
https://www.komoot.com/smarttour/12266517,Naedliger Gratweg – Altmannsattel (2368 m) loop from Wildhaus,Expert,14.81,1325.88,1325.88,464,1.93,2023-05-07_1109931272_GPX Download_ Naedliger Gratweg – Altmannsattel (2368 m) Runde von Wildhaus.gpx,14.47
https://www.komoot.com/smarttour/1798065,Panorama Rigelschwendi – Hemberg loop from Hemberg,Intermediate,7.95,205.74,205.74,138,3.38,2023-05-07_1109931426_GPX Download_ Panorama Rigelschwendi – Hemberg Runde von Hemberg.gpx,7.94
https://www.komoot.com/smarttour/8059258,Felstobel – Aussicht über dem Cholloch loop from Wildhaus Lisighaus,Intermediate,11.2,350.52,350.52,214,3.22,2023-05-07_1110151929_GPX Download_ Erlenpromenade – Grindelwald _ Bergpanorama Runde von Grindelwald.gpx,6.7
https://www.komoot.com/smarttour/4186974,Wuderschöner Ausblick – Roslenfirst loop from Wildhaus,Expert,16.25,1097.28,1097.28,436,2.25,2023-05-07_1109931794_GPX Download_ Wuderschöner Ausblick – Roslenfirst Runde von Wildhaus.gpx,16.11
https://www.komoot.com/smarttour/95484,Wuderschöner Ausblick – Blick auf den Säntis loop from Wildhaus,Intermediate,9.54,335.28,342.9,183,3.06,2023-05-07_1109935575_GPX Download_ Wuderschöner Ausblick – Blick auf den Säntis Runde von Wildhaus.gpx,9.52
https://www.komoot.com/smarttour/12279261,Chäserrugg – Iltios loop from Unterwasser,Expert,15.87,1066.8,1066.8,404,2.41,2023-05-07_1109935743_GPX Download_ Chäserrugg – Iltios Runde von Unterwasser.gpx,15.71
https://www.komoot.com/smarttour/5503106,Passhöhe Hulftegg – Hörnli loop from Libingen,Intermediate,10.2,350.52,373.38,190,3.22,2023-05-07_1109935873_GPX Download_ Passhöhe Hulftegg – Hörnli Runde von Libingen.gpx,10.18
https://www.komoot.com/smarttour/856987,Berggasthof Rotsteinpass – Rotsteinpass loop from Wildhaus,Expert,17.06,1181.1,1181.1,448,2.25,2023-05-07_1109936056_GPX Download_ Berggasthof Rotsteinpass – Rotsteinpass Runde von Wildhaus.gpx,16.82
https://www.komoot.com/smarttour/364476,Rotsteinpass – Meglisalp loop from Wildhaus,Expert,10.33,914.4,922.02,345,1.77,2023-05-07_1109936298_GPX Download_ Rotsteinpass – Meglisalp Runde von Wildhaus.gpx,10.16
https://www.komoot.com/smarttour/4184229,Chäserrugg – Rosenboden: endlose Rundsicht loop from Walenstadtberg,Intermediate,2.99,83.82,83.82,52,3.38,2023-05-07_1109936491_GPX Download_ Chäserrugg – Rosenboden_ endlose Rundsicht Runde von Walenstadtberg.gpx,2.99
https://www.komoot.com/smarttour/8049220,Aussicht nach Rapperswil – Holzbrücke Rapperswil – Hurden loop from Pfäffikon,Intermediate,9.01,22.86,22.86,137,3.86,2023-05-07_1109936682_GPX Download_ Aussicht nach Rapperswil – Holzbrücke Rapperswil – Hurden Runde von Pfäffikon.gpx,9.03
https://www.komoot.com/smarttour/12256637,Aussicht auf den Sihlsee – Öffentliche Grillstelle loop from Feusisberg,Intermediate,5.46,220.98,220.98,105,3.06,2023-05-07_1109936990_GPX Download_ Aussicht auf den Sihlsee – Öffentliche Grillstelle Runde von Feusisberg.gpx,5.43
https://www.komoot.com/smarttour/12246653,Holzbrücke Rapperswil – Hurden – Aussicht nach Rapperswil loop from Pfäffikon,Intermediate,11.86,15.24,15.24,179,4.02,2023-05-07_1109937447_GPX Download_ Holzbrücke Rapperswil – Hurden – Aussicht nach Rapperswil Runde von Pfäffikon.gpx,11.88
https://www.komoot.com/smarttour/4184613,St. Meinrad – Wanderweg zu St. Meinrad loop from Pfäffikon,Intermediate,10.15,632.46,632.46,226,2.74,2023-05-07_1109937902_GPX Download_ St. Meinrad – Wanderweg zu St. Meinrad Runde von Pfäffikon.gpx,10.06
https://www.komoot.com/smarttour/1829639,Aussicht über den Zürichsee – Aussichtspunkt Stöcklichrüz loop from Egg,Intermediate,10.64,327.66,327.66,190,3.38,2023-05-07_1109942189_GPX Download_ Aussicht über den Zürichsee – Aussichtspunkt Stöcklichrüz Runde von Egg.gpx,10.62
https://www.komoot.com/smarttour/731206,Rossberg Restaurant – Herrliche Aussicht loop from Schindellegi-Feusisberg,Intermediate,9.85,342.9,342.9,181,3.22,2023-05-07_1109942377_GPX Download_ Rossberg Restaurant – Herrliche Aussicht Runde von Schindellegi-Feusisberg.gpx,9.83
https://www.komoot.com/smarttour/5509765,St. Meinrad – Restaurant Meinrad loop from Pfäffikon,Intermediate,11.35,647.7,647.7,245,2.74,2023-05-07_1109942590_GPX Download_ St. Meinrad – Restaurant Meinrad Runde von Pfäffikon.gpx,11.25
https://www.komoot.com/smarttour/8056544,St. Meinrad – Egg-Stöcklichrüz  loop from Pfäffikon,Intermediate,13.97,685.8,685.8,284,2.9,2023-05-07_1109942798_GPX Download_ St. Meinrad – Egg-Stöcklichrüz  Runde von Pfäffikon.gpx,13.89
